Date ,Volume
"January 2, 2022",153.17
"January 3, 2022",161.49
"January 4, 2022",159.5
"January 5, 2022",159.17
"January 6, 2022",158.94
"January 7, 2022",162.13
"January 8, 2022",154.71
"January 9, 2022",121.3
"January 10, 2022",165.05
"January 11, 2022",156.32
"January 12, 2022",159.06
"January 13, 2022",156.51
"January 14, 2022",144.51
"January 15, 2022",137.8
"January 16, 2022",131.12
"January 17, 2022",148.76
"January 18, 2022",146.5
"January 19, 2022",150.16
"January 20, 2022",145.93
"January 21, 2022",147.74
"January 22, 2022",142.24
"January 23, 2022",131.74
"January 24, 2022",145.03
"January 25, 2022",146.01
"January 26, 2022",140.43
"January 27, 2022",143.76
"January 28, 2022",145.49
"January 29, 2022",139.06
"January 30, 2022",143.78
"January 31, 2022",161.23
"February 1, 2022",172.73
"February 2, 2022",166.65
"February 3, 2022",164.67
"February 4, 2022",162.28
"February 5, 2022",165.52
"February 6, 2022",154.93
"February 7, 2022",166.49
"February 8, 2022",166.8
"February 9, 2022",171.88
"February 10, 2022",164.63
"February 11, 2022",166.5
"February 12, 2022",163.28
"February 13, 2022",158.84
"February 14, 2022",167.59
"February 15, 2022",164.96
"February 16, 2022",165.32
"February 17, 2022",159.99
"February 18, 2022",161.09
"February 19, 2022",155.83
"February 20, 2022",154.94
"February 21, 2022",157.81
"February 22, 2022",147.4
"February 23, 2022",142.12
"February 24, 2022",167.92
"February 25, 2022",159.93
"February 26, 2022",160.68
"February 27, 2022",157.29
"February 28, 2022",159.41
"March 1, 2022",171.16
"March 2, 2022",179.46
"March 3, 2022",179.45
"March 4, 2022",177.9
"March 5, 2022",184.02
"March 6, 2022",172.57
"March 7, 2022",181.78
"March 8, 2022",179.37
"March 9, 2022",180.82
"March 10, 2022",181.54
"March 11, 2022",178.34
"March 12, 2022",176.52
"March 13, 2022",170.4
"March 14, 2022",177.44
"March 15, 2022",176.69
"March 16, 2022",180.46
"March 17, 2022",180.75
"March 18, 2022",148.93
"March 19, 2022",164.48
"March 20, 2022",158.86
"March 21, 2022",172.3
"March 22, 2022",167.3
"March 23, 2022",169.86
"March 24, 2022",169.58
"March 25, 2022",170.93
"March 26, 2022",176.05
"March 27, 2022",170.9
"March 28, 2022",171.37
"March 29, 2022",171.62
"March 30, 2022",177.2
"March 31, 2022",187.59
"April 1, 2022",172.73
"April 2, 2022",166.65
"April 3, 2022",164.67
"April 4, 2022",162.28
"April 5, 2022",165.52
"April 6, 2022",189.25
"April 7, 2022",192.49
"April 8, 2022",191.6
"April 9, 2022",196.38
"April 10, 2022",182.96
"April 11, 2022",192.09
"April 12, 2022",193.43
"April 13, 2022",158.84
"April 14, 2022",167.59
"April 15, 2022",164.96
"April 16, 2022",165.32
"April 17, 2022",177.61
"April 18, 2022",184.71
"April 19, 2022",184.84
"April 20, 2022",186.4
"April 21, 2022",183.36
"April 22, 2022",184.13
"April 23, 2022",183.04
"April 24, 2022",167.91
"April 25, 2022",182.16
"April 26, 2022",182.04
"April 27, 2022",183.28
"April 28, 2022",181.48
